title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
Because of Winn-Dixie	2005	PG	7.0	106	Comedy; Drama; Family	Wayne Wang	AnnaSophia Robb; Jeff Daniels; Cicely Tyson; Dave Matthews	A 10-year-old girl abandoned by her mother when she was three moves to a small town in Florida with her father a preacher While there she adopts a stray dog whom she names after the local supermarket where he was found With her goofy pooch by her side she meets an eclectic group of townspeople and rekindles an almost lost relationship with her father	English	USA	2 nominations	6.4	54.0	54	32500000.0	20th Century Fox	18-Feb-05	19518.0	4.0	42.0	3.0	14000000.0	32647042.0	Fox	106440425	2465069	17873617	18312090	57967784	32411955	26730820	26022736
Bewitched	2005	PG-13	13.0	102	Comedy; Fantasy; Romance	Nora Ephron	Nicole Kidman; Will Ferrell; Shirley MacLaine; Michael Caine	Out in Californias San Fernando Valley Isabel is trying to reinvent herself A naïve good-natured witch she is determined to disavow her supernatural powers and lead a normal life At the same time across town Jack Wyatt a tall charming actor is trying to get his career back on track He sets his sights on an updated version of the beloved 1960s situation comedy Bewitched re-conceived as a starring vehicle for himself in the role of the mere-mortal Darrin Fate steps in when Jack accidentally runs into Isabel He is immediately attracted to her and her nose which bears an uncanny resemblance to the nose of Elizabeth Montgomery who played Samantha in the original TV version of Bewitched He becomes convinced she could play the witch Samantha in his new series Isabel is also taken with Jack seeing him as the quintessential mortal man with whom she can settle down and lead the normal life she so desires It turns out theyre both right--but in ways neither of them ever imagined	English; Spanish	USA	2 wins & 13 nominations	4.8	25.0	34	62252415.0	Columbia Pictures	24-Jun-05	77076.0	15.0	670.0	9.0	85000000.0	63313159.0	Sony / Columbia	44556817	-21686841	36646372	18312090	49560588	20534031	20267428	21191761
Boogeyman	2005	PG-13	13.0	89	Drama; Horror; Mystery	Stephen Kay	Barry Watson; Emily Deschanel; Skye McCole Bartusiak; Tory Mussett	Every culture has one - The horrible monster fueling young childrens nightmares But for Tim the BOGEYMAN still lives in his memories as a creature that devoured his father 16 years earlier Is the BOGEYMAN real? Or did Tim make him up to explain why his father abandoned his family? The answer lies hidden behind every dark corner and half-opened closet of his childhood home - A place he must return to and face the chilling unanswered questions Does the BOGEYMAN really exist?	English	USA; New Zealand; Germany		4.2	13.0	32	46363118.0	Screen Gems	4-Feb-05	114931.0	16.0	137.0	15.0	20000000.0	46752382.0	Sony / Screen Gems	97319190	26752382	17873617	74319802	49035518	20534031	17826698	21950408
Brick	2005	R	17.0	110	Action; Crime; Drama	Rian Johnson	Joseph Gordon-Levitt; Nora Zehetner; Lukas Haas; Noah Fleiss	The lonely teenager Brendan finds his former girlfriend Emily dead in the entrance of a tunnel of sewage and recalls her phone call two days ago when she said to him that she was in trouble Brendan who still loved Emily met bad elements of his high-school trying to contact her and when he succeeded she told him that she was OK He hides her body in the tunnel and decides to investigate the meaning and connection of four words including brick and pin that Emily told him to find who killed her Using the support of his nerd friend Brain he successively meets the small time drug dealers Kara Dode Brad Bramish Laura and Tugger to reach the teenager powerful drug dealer The Pin Slowly Brendan unravels the motives why Emily was killed and plots a revenge	English	USA	11 wins & 23 nominations	7.4	79.0	72	1973180.0	Focus Features	31-Mar-06	335137.0	214.0	1181.0	34.0		2075743.0	Focus Features	28867690	14031234	17873617	18312090	40282196	10903945	10408181	8513200
Brokeback Mountain	2005	R	17.0	134	Drama; Romance	Ang Lee	Heath Ledger; Jake Gyllenhaal; Randy Quaid; Valerie Planche	Two young men Ennis Del Mar and Jack Twist meet when they get a job as sheep herders on Brokeback Mountain They are at first strangers then they become friends Throughout the weeks they grow closer as they learn more about each other One night after some heavy drinking they find a deeper connection They then indulge in a blissful romance for the rest of the summer Unable to deal with their feelings for each other they part ways at the end of the summer Four years go by and they each settle down Ennis in Wyoming with his wife and two girls and Jack in Texas with his wife and son Still longing for each other they meet back up and are faced with the fact that they need each other They undeniably need each other and unsure of what to do they start a series of fishing trips in order to spend time together The relationship struggles on for years until tragedy strikes	English; Spanish	USA; Canada	Won 3 Oscars Another 138 wins & 128 nominations	7.7	87.0	87	82970165.0	Focus Features	9-Dec-05	52637.0	29.0			14000000.0	83043761.0	Focus Features	283586516	12036315	36646372	33362845	25564815	10903945	10408181	8513200
Broken Flowers	2005	R	17.0	106	Comedy; Drama; Mystery	Jim Jarmusch	Bill Murray; Julie Delpy; Heather Simms; Brea Frazier	The resolutely single Don Johnston has just been dumped by his latest lover Sherry Don resigns himself to being alone yet again and left to his own devices Instead he is compelled to reflect on his past when he receives by mail a mysterious pink letter It is from an anonymous former lover and informs him that he has a 19-year-old son who may now be looking for his father Don is urged to investigate this mystery by his closest friend and neighbor Winston an amateur sleuth and family man Hesitant to travel at all Don nonetheless embarks on a cross-country trek in search of clues from four former flames Unannounced visits to each of these unique women hold new surprises for Don as he haphazardly confronts both his past and consequently his present	English	USA; France	5 wins & 12 nominations	7.2	87.0	79	13578173.0	Focus Features	5-Aug-05	71452.0	12.0	72.0	3.0		13744960.0	Focus Features	45949394	13744960	17873617	28590532	51845823	10903945	10408181	8513200
The Brothers Grimm	2005	PG-13	13.0	118	Adventure; Comedy; Fantasy	Terry Gilliam	Petr Ratimec; Barbora Lukesová; Anna Rust; Jeremy Robson	Folklore collectors and con artists Jake and Will Grimm travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms They are put to the test however when they encounter a real magical curse in a haunted forest with real magical beings requiring genuine courage	English; French; German; Italian	USA; Czech Republic; UK	4 wins & 5 nominations	5.9	38.0	51		Miramax Films	26-Aug-05	936069.0	307.0	870.0	46.0	88000000.0	37916267.0	Dimension Films	-200334932	-36197063	68223563	27160955	67642747	20534031	-2929512	-11560797
Capote	2005	R	17.0	114	Biography; Crime; Drama	Bennett Miller	Allie Mickelson; Kelci Stephenson; Philip Seymour Hoffman; Craig Archibald	Famed writer Truman Capote southern born and bred but now part of the New York City social circle is growing weary of his current assignment of writing autobiographical type pieces for the New Yorker After reading a newspaper article about the just occurred November 14 1959 cold blooded murders of the Clutter family in their rural Kansas home Truman feels compelled to write about that event as his next article So he and his personal assistant Nelle Harper Lee also a southern born New Yorker and an aspiring writer of her own head to Kansas to research the story first-hand Truman hopes to use his celebrity status to gain access to whomever he needs such as to Laura Kinney a friend of the Clutter daughter she who discovered the bodies and to Alvin Dewey the lead police investigator and also a Clutter family friend If his celebrity doesnt work Truman will grease the wheels by whatever means necessary When the police eventually charge suspects two young men named Dick Hickcock and Perry Smith Truman uses those same tactics to gain access to them Trumans fascination with the story makes him believe that he can revolutionize writing by expanding the germ of the article into what he calls a non-fiction novel His personal involvement also changes as he grows emotionally attached to Perry the seemingly sensitive and thus probable submissive in the criminal pairing thus Truman becoming part of the story itself Article or non-fiction novel Truman knows that he has to take it to its natural conclusion something which he cannot force But also missing are the details of the November 14 1959 event itself something that neither Dick or Perry have divulged even in testimony	English	USA; Canada	Won 1 Oscar Another 58 wins & 86 nominations	7.4	90.0	88	28337516.0	Sony Pictures Classics	30-Sep-05	520774.0	12.0	606.0	31.0	7000000.0	28750530.0	Sony Classics	76311964	19817440	17873617	33362845	33100891	10903945	4912298	4384911
Casanova	2005	R	17.0	112	Adventure; Comedy; Drama	Lasse Hallström	Heath Ledger; Sienna Miller; Jeremy Irons; Oliver Platt	Casanova is in love with Francesca who thinks he is a friend of himself even though he is engaged to Victoria who is the love of Giovanni Francescas brother Francesca is betrothed to Paprizzio who thinks Casanova is the feminist writer Guardi who is really Francesscas nomme de plume Amidst all these secret identities and misunderstandings the Catholic Church sends Pucci to bring Casanova and Guardi to trial for heresy	English	USA	5 wins & 3 nominations	6.5	44.0	57	11193738.0	Buena Vista Pictures	25-Dec-05	376398.0	32.0	212.0	10.0		11304403.0	Buena Vista	142453891	19460547	17873617	18312090	66615068	10903945	57937367	53164745
Charlie and the Chocolate Factory	2005	PG	7.0	115	Adventure; Comedy; Family	Tim Burton	Johnny Depp; Freddie Highmore; David Kelly; Helena Bonham Carter	When Willy Wonka decides to let five children into his chocolate factory he decides to release five golden tickets in five separate chocolate bars causing complete mayhem The tickets start to be found with the fifth going to a very special boy called Charlie Bucket With his Grandpa Charlie joins the rest of the children to experience the most amazing factory ever But not everything goes to plan within the factory	English	USA; UK; Australia	Nominated for 1 Oscar Another 14 wins & 50 nominations	6.7	82.0	72	206100000.0	Warner Bros. Pictures	15-Jul-05	122100.0	21.0	157.0	14.0	150000000.0	206459076.0	Warner Bros.	1829910	24613060	17873617	36743271	80160220	32411955	27495698	25532021
Cheaper by the Dozen 2	2005	PG	7.0	94	Adventure; Comedy; Family	Adam Shankman	Steve Martin; Eugene Levy; Bonnie Hunt; Tom Welling	The Bakers while on vacation find themselves competing with a rival family of eight children	English	USA; Canada	1 win & 5 nominations	5.5	6.0	34	82468131.0	20th Century Fox	21-Dec-05	173969.0	29.0	137.0	4.0		82571173.0	Fox	198959291	56586672	17873617	33362845	80160220	32411955	26730820	26022736
Chicken Little	2005	G	1.0	81	Animation; Adventure; Comedy	Mark Dindal	Zach Braff; Garry Marshall; Don Knotts; Patrick Stewart	After Chicken Little causes widespread panic--when he mistakes a falling acorn for a piece of the sky--the young chicken is determined to restore his reputation But just as things are starting to go his way a real piece of the sky lands on his head Chicken Little and his band of misfit friends Abby Mallard (aka Ugly Duckling) Runt of the Litter and Fish Out of Water attempt to save the world without sending the town into a whole new panic	English	USA	4 wins & 15 nominations	5.8	37.0	48	135289768.0	Buena Vista Pictures	4-Nov-05	869880.0				150000000.0	135386665.0	Buena Vista	24780834	-14613335	17873617	18312090	106602917	46884506	57937367	53164745
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	PG	7.0	143	Adventure; Family; Fantasy	Andrew Adamson	Georgie Henley; Skandar Keynes; William Moseley; Anna Popplewell	Four children from the same family have to leave their town because of the bombings of WWII A women and a professor take the children to their house While playing a game of hide-and-seek the youngest member of the family Lucy finds a wardrobe to hide in She travels back and back into the wardrobe and finds a place named Narnia After going in twice the four children go in together for the last time They battle wolves meet talking animals encounter an evil white witch and meet a magnificent lion named Aslan Will this be the end of their journey to Narnia or will they stay?	English; German	USA; UK	Won 1 Oscar Another 14 wins & 46 nominations	6.9	76.0	75	291685219.0	Buena Vista Pictures	9-Dec-05	104210.0	9.0	110.0	9.0	180000000.0	291710957.0	Buena Vista	111023447	14166223	38872272	33377321	68947074	32411955	57937367	53164745
The Chumscrubber	2005	R	17.0	108	Comedy; Drama	Arie Posin	Jamie Bell; Camilla Belle; Justin Chatwin; Glenn Close	The Chumscrubber starts out with Troy a normal teenager who supplies feel good pills to everyone in his high school (this way he spreads happiness all around) But when his friend Dean pays him a visit Dean discovers Troy has hanged himself in his bedroom during one of his mothers pool parties After the death three local teens: Billy Lee and Crystal want whats left of Troys stash of pills and they know that Dean is the only one who knows where they are But when Dean refuses to get the pills the three teens kidnap Deans little brother until they realize theyve kidnapped the wrong kid	English	USA; Germany	1 nomination	7.0	36.0	41		Picturehouse	5-Aug-05	107683.0	43.0	151.0	5.0		52597.0	Newmarket	57673595	201301	17873617	27492021	33695363	10903945	3344940	52597
Cinderella Man	2005	PG-13	13.0	144	Biography; Drama; Sport	Ron Howard	Russell Crowe; Renée Zellweger; Paul Giamatti; Craig Bierko	During the Great Depression a common-man hero James J Braddock--aka the Cinderella Man--was to become one of the most surprising sports legends in history By the early 1930s the impoverished ex-prizefighter was seemingly as broken-down beaten-up and out-of-luck as much of the rest of the American populace who had hit rock bottom His career appeared to be finished he was unable to pay the bills the only thing that mattered to him--his family--was in danger and he was even forced to go on Public Relief But deep inside Jim Braddock never relinquished his determination Driven by love honor and an incredible dose the ones who are do of grit he willed an impossible dream to come true In a last-chance bid to help his family Braddock returned to the ring No one thought he had a shot However Braddock fueled by something beyond mere competition kept winning Suddenly the ordinary working man became the mythic athlete Carrying the hopes and dreams of the disenfranchised on his shoulders Braddock rocketed through the ranks until this underdog chose to do the unthinkable: take on the heavyweight champ of the world the unstoppable Max Baer renowned for having killed two men in the ring	English	USA	Nominated for 3 Oscars Another 16 wins & 41 nominations	8.0	80.0	69	61600000.0	Universal Pictures	3-Jun-05	1564566.0	354.0	1818.0	83.0	88000000.0	61649911.0	Universal	-38450334	-40877616	17873617	18312090	45424437	20534031	26345508	26657449
Coach Carter	2005	PG-13	13.0	136	Biography; Drama; Sport	Thomas Carter	Samuel L. Jackson; Rob Brown; Robert Ri'chard; Rick Gonzalez	In 1999 Ken Carter accepts the job of basketball coach for his old high school in a poor area of Richmond CA As much dismayed by the poor attitudes of his players as well as their dismal play performance Carter sets about to change both He imposes a strict regime typified in written contracts that demand respectful behavior a dress code and good grades for players Any initial resistance is soon dispelled as the team under Carters tutelage becomes a undefeated competitor However when the overconfident teams behavior begins to stray with too many doing poorly in class Carter takes immediate action To the outrage of the team the school and the community Carter cancels all team activities and locks the court until the team shows acceptable academic improvement In the ensuing debate Carter fights to keep his methods determined to show the boys that they need good values for their futures and eventually finds he has affected them more profoundly than he ever expected	English	USA; Germany	3 wins & 15 nominations	7.3	64.0	57	67169549.0	Paramount Pictures	14-Jan-05	1386696.0	294.0	1434.0	39.0	30000000.0	67264877.0	Paramount	96274094	37264877	17873617	27492021	45424437	20534031	19901623	21368996
Constantine	2005	R	17.0	121	Drama; Fantasy; Horror	Francis Lawrence	Keanu Reeves; Rachel Weisz; Shia LaBeouf; Djimon Hounsou	John Constantine is approached by Det Angela Dodson who needs his help to prove that her twin sister Isabels death was not a suicide The dead woman was a devout Catholic and Angela refuses to accept she would have taken her own life Shes asked Constantine for help because he has a reputation for dealing with the mystical In fact he is a demon hunter whose sole purpose on Earth is to send demons back to the nether regions John himself has been to Hell and knows that he is destined to return there on his death - but hopes his good deeds may find him a place in Heaven As he looks into Isabels death he realizes demons are trying to break through to the human world and his battles lead him into a direct conflict with Satan	English; Filipino; Tagalog	USA; Germany	2 wins & 9 nominations	7.0	46.0	50	75400000.0	Warner Bros. Pictures	18-Feb-05	305594.0	60.0	472.0	28.0	100000000.0	75976178.0	Warner Bros.	-29011166	99436738	-64782502	27492021	42640006	10903945	27495698	25532021
Cursed	2005	PG-13	13.0	97	Comedy; Horror	Wes Craven	Portia de Rossi; Mya; Shannon Elizabeth; Kristina Anapau	Ellie has been taking care of her younger brother Jimmy since their parents death One night after picking him up from a party they are involved in a car accident on Mullholland Drive While trying to rescue a woman from the other car a creature attacks and kills her also injuring both Ellie and Jimmy After some research Jimmy realizes the creature could only have been a werewolf	English	Germany; USA	3 nominations	5.0		31			25-Feb-05	42805.0	9.0	152.0	13.0	38000000.0	19297522.0	Dimension Films	-74809912	278672	17873617	27492021	43125883	20534031	6954238	-11560797
Daltry Calhoun	2005	PG-13	13.0	100	Comedy; Drama; Music	Katrina Holden Bronson	Elizabeth Banks; Johnny Knoxville; Beth Grant; Laura Cayouette	The Knoxville Tennessee-set film written by Bronson is a dark comedy about a father (Knoxville) struggling to keep his once lucrative Tennessee golfing empire intact when his estranged 14-year-old daughter (a gifted musician) is unexpectedly left in his care	English	USA	1 nomination	5.2	7.0	30		Miramax Films	23-Sep-05	4721.0	2.0	17.0	2.0		12551.0	Miramax	24251199	12551	17873617	18312090	50228928	20534031	-2929512	3075013
Dark Water	2005	PG-13	13.0	105	Drama; Horror; Thriller	Walter Salles	Jennifer Connelly; John C. Reilly; Tim Roth; Dougray Scott	Dahlia Williams and her daughter Cecelia move into a rundown apartment on New Yorks Roosevelt Island She is currently in the midst of divorce proceedings and the apartment though near an excellent school for her daughter is all she can afford From the time she arrives there are mysterious occurrences and there is a constant drip from the ceiling in the only bedroom There are also noises coming from the apartment directly above hers though it would appear to be vacant Is the apartment haunted or is there a simpler explanation?	English	USA	5 nominations	5.6	46.0	52	25416400.0	Buena Vista Pictures	8-Jul-05	249141.0	53.0	196.0	19.0		25473352.0	Buena Vista	23811528	25473352	17873617	18312090	46485595	20534031	57937367	53164745
Derailed	2005	R	17.0	108	Crime; Drama; Thriller	Mikael Håfström	Vincent Cassel; Clive Owen; Addison Timlin; Melissa George	Charles is worn down by his home life where he and his wife struggle to cope with the demands of their daughters illness and his job When he meets Lucinda on the train to work in Chicago there is an immediate spark between them Soon they are doing lunch dinner and drinks follow This leads to an adulterous rendezvous in a hotel However no sooner have they torn each others clothes off than their room is invaded by a thief who beats Charles and rapes Lucinda Because of the illicit nature of their relationship Charles agrees with Lucinda who is reluctant to go to the police and soon finds he is powerless to resist the demands of the thief	English; French	USA; UK		6.6	21.0	40	35945749.0	The Weinstein Company	11-Nov-05	56670.0	1.0	35.0	6.0	22000000.0	36024076.0	Weinstein Company	48770151	20548325	35639607	33377321	37328708	10903945	12987838	14330874
Deuce Bigalow: European Gigolo	2005	R	17.0	83	Comedy	Mike Bigelow	Rob Schneider; Eddie Griffin; Jeroen Krabbé; Til Schweiger	Deuce Bigalow (Rob Schneider) goes to Amsterdam after a little accident including two irritating kids and a bunch of aggressive dolphins There he meets up with his old friend TJ Hicks (Eddie Griffin) But a mysterious killer starts killing some of Amsterdams finest gigolos and TJ is mistaken for the extremely gay murderer Deuce must enter the gigolo industry again to find the real murderer and clear TJs name	English; Dutch	USA	3 wins & 10 nominations	4.6	9.0	23	22264487.0	Sony	12-Aug-05	24607.0				22000000.0	22400154.0	Sony / Columbia	-3503733	400154	72742341	18312090	22968094	10903945	17510597	21191761
Dirty Love	2005	R	17.0	91	Comedy; Romance	John Asher	Jenny McCarthy; Eddie Kaye Thomas; Carmen Electra; Victor Webster	A modern day Cinderella story which sees disaster prone Rebecca embark on a journey in search of true love Betrayed by her boyfriend Richard and following a palm readers psychic prophecy Rebecca goes in search of her one true soul mate	English	USA	4 wins & 7 nominations	3.5	4.0	9		First Look	23-Sep-05	143184.0	19.0	102.0	10.0		36099.0	First Look	19243184	36099	17873617	18312090	37805640	10903945	36099	1349181
Dominion: Prequel to the Exorcist	2005	R	17.0	117	Drama; Horror; Thriller	Paul Schrader	Stellan Skarsgård; Gabriel Mann; Clara Bellar; Billy Crawford	Lankester Merrin is a archaeologist by profession but an ordained Roman Catholic priest who has lost his faith and abandoned his vocation He is haunted by what he was forced to do in his native Holland during World War II The church hes excavated in Northern Kenyan dates to the Byzantine period but this puts its construction hundreds of years before Christianity was introduced to the area the church was buried to the rooftop in sand and as its structure is exposed a madness slowly descends on the camp the local tribesmen are prepared to go to war and demand that the church be buried Soon two British soldiers are found dead and their commanding officer Major Granville shoots a innocent civilian in cold blood As fear descends upon everyone in the camp it becomes apparent that a young disabled boy Cheche is possessed by the devil forcing Merrin to re-examine his own beliefs	English	USA	3 nominations	5.3	30.0	55		Warner Bros.	20-May-05	10151.0	1.0	7.0	1.0		251495.0	Warner Bros.	30580061	154160	17873617	18312090	46485595	10903945	14702912	25532021
The Dukes of Hazzard	2005	PG-13	13.0	104	Action; Adventure; Comedy	Jay Chandrasekhar	Johnny Knoxville; Seann William Scott; Alice Greczyn; Steve Lemme	Bo and Luke Duke are southern cousins In Hazzard County Bo and Luke help their Uncle Jesse and their sexy cousin Daisy run the Moonshine business and always getting into trouble with Sherriff Roscoe P Coltrane and recklessly driving in their orange car General Lee Boss Hogg the mean and corrupt local county commissioner who hates The Dukes evicts The Dukes from their farm Bo and Duke travels to Atlanta and meets up with old friend Katie Johnson and her friend Annette as they set out to find out why Boss Hogg has evicted them from their farm and what he plans to do With local ace race car driver Billy Prickett in town to take part in the Annual Hazzard Road Race rally Bo and Luke sets out to save their farm and foil Boss Hoggs scheme	English	USA	5 wins & 14 nominations	5.1	14.0	33	80206743.0	Warner Bros. Pictures	5-Aug-05	251301.0	12.0			50000000.0	80270227.0	Warner Bros.	110867556	30270227	17873617	18312090	74441824	20534031	27495698	25532021
